"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Botswana","BWA","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4000015258789","","","","","","","","","","59.7999992370605","","","","","","","",
"Sub-Saharan Africa (IFC classification)","CAA","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","5.09999990463257","5.69999980926514","6.90000009536743","11.8000001907349","11.8000001907349","12","10.5","10.5","8.69999980926514","8.10000038146973","7.09999990463257","8.89999961853027","13.3000001907349","16.2000007629395","17.3999996185303","16.2999992370605","16.2999992370605","15.6000003814697","13.3000001907349","11.1999998092651","10.8000001907349","9","9.19999980926514","9.60000038146973","9.10000038146973","9.19999980926514","8.30000019073486","7.09999990463257","6.69999980926514","7.5","11.5","13","11.8999996185303","",
"East Asia and the Pacific (IFC classification)","CEA","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3884619617352","44.5117353300641","44.8352808086382","42.6183578357925","42.1735711176576","40.9038750626244","45.25560298613","47.6834588623173","52.7462441345224","53.4194990013937","52.1653522287513","54.0574464030934","53.288663288483","49.7104124184174","40.2495766781855","32.5751382293145","37.4329952903763","42.4631181959804","44.1129307216067","",
"Europe and Central Asia (IFC classification)","CEU","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5","19.3999996185303","19.8999996185303","28.6000003814697","32.9000015258789","24.7999992370605","27.7999992370605","33","38.4000015258789","28.5","29.2999992370605","21.3999996185303","25.5","33","38.4000015258789","38.5","40.2000007629395","33.7000007629395","29.7000007629395","32.7999992370605","38.2999992370605","34.7000007629395","",
"Channel Islands","CHI","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8999996185303","25.7999992370605","25.8999996185303","22.2000007629395","18.2000007629395","23.5","57.2000007629395","52.5","58.5","59.7000007629395","","","","","","","","","","","","","","","","","","",
"China","CHN","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America and the Caribbean (IFC classification)","CLA","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Comoros","COM","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","6.69999980926514","10.8000001907349","15","16","11.8999996185303","14.3000001907349","19.1000003814697","13","14.1999998092651","8.5","10.3999996185303","8","13","9.10000038146973","8.10000038146973","7.59999990463257","11.6999998092651","14","11.6999998092651","11.8000001907349","13.3999996185303","10.8999996185303","","","","","","","","","","","","",
"South Asia (IFC classification)","CSA","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Long-term unemployment (% of total unemployment)","SL.UEM.LTRM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.6901915044799","33.942064118623","34.1685684141519","30.289683521952","31.3945904388953","31.2880206370643","30.7245285832201","29.4044324744121","","","","","","","","","","","","","","",
